time,flight mode,control,x,y,z,yaw,wall_angle,wall_dist
1495268003.113073922,4,1,0,0,0.75,0.107687,0,1536.93
1495268003.119699658,4,1,0,0,0.75,0.107687,0,1536.93
1495268003.126363519,4,1,0,0,0.75,0.107687,0,1536.93
1495268003.133176337,4,1,0,0,0.75,0.107687,0,1536.93
1495268003.139711783,4,1,0,0,0.75,0.107687,0,1536.93
1495268003.146368310,4,1,0,0,0.75,0.105822,0,1536.93
1495268003.153121212,4,1,0,0,0.75,0.105822,0,1536.93
1495268003.159709741,4,1,0,0,0.75,0.105822,0,1536.93
1495268003.166354185,4,1,0,0,0.75,0.105822,0,1536.93
1495268003.173381085,4,1,0,0,0.75,0.105822,0.57148,1522.36
1495268003.179725657,4,1,0,0,0.75,0.104881,0,1522.36
1495268003.186362851,4,1,0,0,0.75,0.104881,0,1522.36
1495268003.193047212,4,1,0,0,0.75,0.104881,0,1522.36
1495268003.199718948,4,1,0,0,0.75,0.104881,0,1522.36
1495268003.206368393,4,1,0,0,0.75,0.104881,0,1522.36
1495268003.214697448,4,1,0,0,0.75,0.104881,0,1522.36
1495268003.219698906,4,1,0,0,0.75,0.103251,0,1522.36
1495268003.226379017,4,1,0,0,0.75,0.103251,0,1522.36
1495268003.233057962,4,1,0,0,0.75,0.103251,0,1522.36
1495268003.239696656,4,1,0,0,0.75,0.103251,0,1522.36
1495268003.246370392,4,1,0,0,0.75,0.103251,0,1522.36
1495268003.253036378,4,1,0,0,0.75,0.101755,0,1522.36
1495268003.259689281,4,1,0,0,0.75,0.101755,0,1522.36
1495268003.266399183,4,1,0,0,0.75,0.101755,0,1522.36
1495268003.273056627,4,1,0,0,0.75,0.101755,0,1522.36
1495268003.279744030,4,1,0,0,0.75,0.101755,0,1522.36
1495268003.286395474,4,1,0,0,0.75,0.101755,0,1522.36
1495268003.293062169,4,1,0,0,0.75,0.100084,0,1522.36
1495268003.299723655,4,1,0,0,0.75,0.100084,0,1522.36
1495268003.306450140,4,1,0,0,0.75,0.100084,0.57148,1502.94
1495268003.313116793,4,1,0,0,0.75,0.100084,0,1502.94
1495268003.319807779,4,1,0,0,0.75,0.100084,0,1502.94
1495268003.326418015,4,1,0,0,0.75,0.0986892,0,1502.94
1495268003.333074210,4,1,0,0,0.75,0.0986892,0,1502.94
1495268003.339733321,4,1,0,0,0.75,0.0986892,0,1502.94
1495268003.346698179,4,1,0,0,0.75,0.0986892,0,1502.94
1495268003.353063459,4,1,0,0,0.75,0.0986892,0,1502.94
1495268003.359708821,4,1,0,0,0.75,0.0986892,0,1502.94
1495268003.366405598,4,1,0,0,0.75,0.0972682,0,1502.94
1495268003.373031501,4,1,0,0,0.75,0.0972682,0,1502.94
1495268003.380545313,4,1,0,0,0.75,0.0972682,0,1502.94
1495268003.386362556,4,1,0,0,0.75,0.0972682,0,1502.94
1495268003.393037376,4,1,0,0,0.75,0.0972682,0,1502.94
1495268003.399705528,4,1,0,0,0.75,0.096392,0,1502.94
1495268003.406366348,4,1,0,0,0.75,0.096392,0,1502.94
1495268003.413025250,4,1,0,0,0.75,0.096392,0,1502.94
1495268003.419702820,4,1,0,0,0.75,0.096392,0,1502.94
1495268003.426365139,4,1,0,0,0.75,0.096392,0,1502.94
1495268003.433101458,4,1,0,0,0.75,0.0952941,0,1502.94
1495268003.439722111,4,1,0,0,0.75,0.0952941,0,1502.94
1495268003.446385222,4,1,0,0,0.75,0.0952941,0,1502.94
1495268003.453060333,4,1,0,0,0.75,0.0952941,0,1502.94
1495268003.459731110,4,1,0,0,0.75,0.0952941,0.57148,1478.81
1495268003.466414179,4,1,0,0,0.75,0.0946797,0,1478.81
1495268003.473287705,4,1,0,0,0.75,0.0946797,0,1478.81
1495268003.479744693,4,1,0,0,0.75,0.0946797,0,1478.81
1495268003.486403638,4,1,0,0,0.75,0.0946797,0,1478.81
1495268003.493041374,4,1,0,0,0.75,0.0946797,0,1478.81
1495268003.499701943,4,1,0,0,0.75,0.0946797,0,1478.81
1495268003.506358638,4,1,0,0,0.75,0.0938183,0,1478.81
1495268003.513286246,4,1,0,0,0.75,0.0938183,0,1478.81
1495268003.519704484,4,1,0,0,0.75,0.0938183,0,1478.81
1495268003.526384220,4,1,0,0,0.75,0.0938183,0,1478.81
1495268003.533412203,4,1,0,0,0.75,0.0938183,0,1478.81
1495268003.539698817,4,1,0,0,0.75,0.0928478,0,1478.81
1495268003.546370387,4,1,0,0,0.75,0.0928478,0,1478.81
1495268003.553028331,4,1,0,0,0.75,0.0928478,0,1478.81
1495268003.559706609,4,1,0,0,0.75,0.0928478,0,1478.81
1495268003.566369178,4,1,0,0,0.75,0.0928478,0,1478.81
1495268003.573063497,4,1,0,0,0.75,0.0928478,0,1478.81
1495268003.579749400,4,1,0,0,0.75,0.0920963,0,1478.81
1495268003.586383219,4,1,0,0,0.75,0.0920963,0,1478.81
1495268003.593030455,4,1,0,0,0.75,0.0920963,0,1478.81
1495268003.599691816,4,1,0,0,0.75,0.0920963,0,1478.81
