time,x,y,z,roll,pitch,yaw
13.318109,3.80644,-1.27294,0.990032,-0.219278,0.034219,-1.36715,107
13.452475,3.81902,-1.34341,0.9644,-0.236879,0.0271013,-1.38027,108
13.486066,3.83911,-1.36761,0.945681,-0.262943,0.0323901,-1.38561,109
13.620432,3.83925,-1.44686,0.955769,-0.267616,0.0157516,-1.38545,110
13.687615,3.84188,-1.47825,0.936879,-0.280253,0.00384734,-1.39725,111
13.754798,3.84978,-1.50884,0.933361,-0.266463,0.0067556,-1.40732,112
13.855573,3.86098,-1.55912,0.918866,-0.250601,-0.00749887,-1.41522,113
13.922724,3.86339,-1.59658,0.93528,-0.246664,-0.00133226,-1.41616,114
13.989780,3.8704,-1.62479,0.920914,-0.245793,-0.0107138,-1.41667,115
14.090205,3.89524,-1.69213,0.934906,-0.237776,-0.00477665,-1.42718,116
14.157071,3.8721,-1.72259,0.921538,-0.236419,-0.0179669,-1.41751,117
14.223936,3.88103,-1.75783,0.916904,-0.238042,-0.01913,-1.42225,118
14.290802,3.87723,-1.79479,0.924694,-0.243274,-0.00440544,-1.41505,119
14.357667,3.87472,-1.83176,0.924741,-0.245858,-0.0056663,-1.41435,120
14.391100,3.89441,-1.8536,0.924355,-0.251777,-0.0194038,-1.43805,121
14.457965,3.88055,-1.87944,0.919996,-0.256223,-0.0193584,-1.43908,122
14.524831,3.90195,-1.9146,0.928686,-0.254339,-0.0083768,-1.47262,123
14.658562,3.90018,-1.96971,0.915906,-0.242202,-0.020233,-1.51512,124
14.691995,3.91482,-1.99299,0.909878,-0.247293,-0.0247485,-1.5607,125
14.758860,3.90966,-2.01774,0.917055,-0.245915,-0.0213513,-1.58285,126
14.825726,3.92477,-2.05213,0.900009,-0.249063,-0.0347036,-1.64059,127
14.892591,3.92802,-2.08693,0.900117,-0.247254,-0.033854,-1.69073,128
14.959457,3.92879,-2.12199,0.899773,-0.250346,-0.0425391,-1.74844,129
14.992889,3.9105,-2.1522,0.90779,-0.261596,-0.0450415,-1.80593,130
15.059787,3.93271,-2.18187,0.894631,-0.262671,-0.0581476,-1.85714,131
15.193867,3.93419,-2.2485,0.903477,-0.236684,-0.0632735,-2.00705,132
15.260986,3.92396,-2.27801,0.90227,-0.217313,-0.0719203,-2.08805,133
15.294546,3.9138,-2.28679,0.900768,-0.208846,-0.0746818,-2.12477,134
15.361666,3.9013,-2.30768,0.908138,-0.199933,-0.0790929,-2.19619,135
15.428785,3.88995,-2.32664,0.914683,-0.189188,-0.0860887,-2.25785,136
15.495905,3.87182,-2.33622,0.905955,-0.18034,-0.102949,-2.31479,137
15.563024,3.90112,-2.33149,0.911771,-0.186176,-0.106277,-2.35839,138
15.965741,3.81584,-2.30024,0.923102,-0.15156,-0.126066,-2.69443,139
16.032861,3.80404,-2.29031,0.926337,-0.140781,-0.120888,-2.74847,140
16.167100,3.7949,-2.27391,0.927805,-0.126868,-0.115084,-2.82884,141
16.200659,3.77674,-2.25162,0.942692,-0.13097,-0.110344,-2.84246,142
16.569817,3.7398,-2.23088,0.947446,-0.125615,-0.103536,-3.00736,143
16.704056,3.72248,-2.2362,0.946059,-0.109489,-0.0984343,-3.06731,144
16.804735,3.70521,-2.24538,0.942393,-0.105319,-0.0902911,-3.10828,145
17.006062,3.67502,-2.25984,0.957313,-0.114559,-0.0989396,3.12695,146
17.106582,3.64889,-2.27889,0.952497,-0.0988881,-0.0887593,3.10403,147
17.240567,3.62714,-2.29386,0.943505,-0.0873513,-0.0750923,3.11121,148
17.341056,3.60213,-2.30701,0.951164,-0.0914661,-0.0813818,3.11806,149
17.843500,3.41265,-2.31603,0.995578,-0.0800873,-0.103839,-3.11003,150
17.910492,3.37761,-2.32016,0.996631,-0.0839507,-0.108978,-3.10506,151
17.943988,3.36266,-2.30959,0.962741,-0.0795086,-0.118528,-3.10068,152
18.010981,3.33098,-2.32713,0.988442,-0.0807511,-0.104162,-3.09828,153
18.379440,3.10494,-2.37124,1.02903,-0.0807507,-0.126496,-3.10037,154
18.446432,3.05193,-2.38665,1.02922,-0.101829,-0.131591,-3.10815,155
18.513425,3.0081,-2.39458,1.02407,-0.107936,-0.147519,-3.11751,156
18.546921,2.96774,-2.39653,1.04772,-0.11063,-0.141914,-3.12123,157
18.613913,2.92935,-2.39524,1.07489,-0.117555,-0.129137,-3.12181,158
18.982372,2.69731,-2.43601,1.09053,-0.0964202,-0.13662,-3.10348,159
19.049365,2.64893,-2.43699,1.09801,-0.0946296,-0.123174,-3.08707,160
19.082861,2.62586,-2.4396,1.10313,-0.0932078,-0.117335,-3.07914,161
19.149853,2.59242,-2.44809,1.10381,-0.0874168,-0.10769,-3.06972,162
19.518312,2.37829,-2.47286,1.14599,-0.0668869,-0.0999162,-3.04167,163
19.585305,2.33701,-2.47118,1.14542,-0.0597147,-0.104462,-3.03753,164
19.652297,2.28544,-2.48288,1.14816,-0.0622296,-0.113809,-3.04208,165
19.685793,2.24779,-2.4858,1.15254,-0.070341,-0.126829,-3.04612,166
19.752786,2.22664,-2.48233,1.14556,-0.0745466,-0.134096,-3.04561,167
19.819778,2.18476,-2.48769,1.15264,-0.0881635,-0.132579,-3.04606,168
19.953763,2.10799,-2.47023,1.1537,-0.0832561,-0.138063,-3.0452,169
20.020756,2.07716,-2.46156,1.14028,-0.0728266,-0.138829,-3.04648,170
20.121245,2.02025,-2.47171,1.13974,-0.0644222,-0.134625,-3.04925,171
20.255230,1.94524,-2.48374,1.14518,-0.0568689,-0.135293,-3.03616,172
20.288726,1.91957,-2.47473,1.16746,-0.0590905,-0.126654,-3.02004,173
20.355718,1.89556,-2.49821,1.1604,-0.0578108,-0.133412,-3.01723,174
20.422711,1.84513,-2.51282,1.19322,-0.0616927,-0.123979,-3.00522,175
20.556696,1.77139,-2.51955,1.18232,-0.0615871,-0.123966,-2.98573,176
20.590192,1.74122,-2.52808,1.16021,-0.0784737,-0.138583,-2.97691,177
20.724209,1.6734,-2.50813,1.17059,-0.0925784,-0.132853,-2.95006,178
20.858511,1.61079,-2.50156,1.20034,-0.0920697,-0.129916,-2.93928,179
20.892103,1.58065,-2.52727,1.21286,-0.0854985,-0.122571,-2.94863,180
21.026469,1.50331,-2.52463,1.19382,-0.0813468,-0.132155,-2.94464,181
21.160835,1.40773,-2.52992,1.21035,-0.111888,-0.144506,-2.94022,182
21.261609,1.34734,-2.52288,1.19291,-0.14418,-0.156602,-2.92685,183
21.328792,1.30442,-2.54294,1.22268,-0.153814,-0.14492,-2.92273,184
21.463158,1.24252,-2.58096,1.22839,-0.143686,-0.136882,-2.94607,185
21.563933,1.1917,-2.57953,1.24325,-0.12738,-0.123713,-2.94382,186
21.698299,1.11973,-2.61086,1.23998,-0.127837,-0.115139,-2.93245,187
21.799010,1.05482,-2.61127,1.2453,-0.113102,-0.132567,-2.9215,188
21.932868,0.98214,-2.61721,1.25272,-0.11276,-0.117774,-2.89307,189
22.033166,0.920393,-2.6385,1.29108,-0.127511,-0.125132,-2.89897,190
22.166897,0.852277,-2.64525,1.2732,-0.12725,-0.130749,-2.89873,191
22.300628,0.792661,-2.67475,1.27905,-0.129106,-0.125369,-2.92589,192
22.400926,0.73449,-2.70426,1.28792,-0.134041,-0.121315,-2.95749,193
22.534657,0.664299,-2.73742,1.28873,-0.150703,-0.115805,-2.99993,194
22.634956,0.604809,-2.76935,1.30415,-0.144949,-0.110133,-3.05102,195
22.768687,0.544807,-2.82016,1.30668,-0.117448,-0.0796545,-3.11548,196
22.902481,0.478487,-2.8562,1.30751,-0.0715266,-0.0771543,3.09474,197
23.003097,0.422981,-2.86128,1.31101,-0.0642674,-0.0716053,3.04015,198
23.070216,0.385503,-2.87546,1.31688,-0.0539334,-0.0763049,2.99571,199
23.204519,0.305589,-2.85227,1.32464,-0.0281698,-0.0777776,2.92578,200
23.305293,0.247882,-2.84341,1.33997,-0.0517125,-0.0767255,2.8475,201
