x,y,z
-0.131972,-2.73367,1.01341
-0.130124,-2.71498,0.999381
-0.130679,-2.69977,0.999317
-0.126861,-2.6833,1.00651
-0.120442,-2.66405,0.995198
-0.114472,-2.65007,0.986305
-0.106281,-2.6346,0.98711
-0.100769,-2.61566,0.996735
-0.0956157,-2.60047,0.993008
-0.0930247,-2.58148,0.984296
-0.0919299,-2.56015,0.986301
-0.0883733,-2.5383,0.985878
-0.0861082,-2.51615,0.990331
-0.0811505,-2.4763,0.996396
-0.0795509,-2.44748,0.991636
-0.076862,-2.40435,0.996805
-0.0734637,-2.37597,1.00201
-0.0736113,-2.32384,1.01273
-0.0753393,-2.27161,1.01035
-0.07959,-2.23513,1.01132
-0.088905,-2.17231,1.0029
-0.0948631,-2.13249,1.00546
-0.106201,-2.06094,0.994469
-0.116066,-2.00993,1.00104
-0.123701,-1.94784,1.00355
-0.123064,-1.9059,1.00439
-0.124245,-1.84255,1.00443
-0.1293,-1.79637,1.01063
-0.135004,-1.72382,1.01423
-0.136623,-1.67657,1.01384
-0.136065,-1.61524,1.00467
-0.132695,-1.57554,1.01658
-0.130299,-1.51454,1.00912
-0.130551,-1.45463,1.00737
-0.132094,-1.41189,1.01743
-0.139639,-1.34269,1.00963
-0.149618,-1.26837,1.00224
-0.162466,-1.18654,0.986338
-0.168116,-1.12024,0.970917
-0.171424,-1.05007,0.977897
-0.170814,-1.00825,0.973753
-0.174745,-0.928105,0.976064
-0.17639,-0.86702,0.974651
-0.171224,-0.807554,0.972618
-0.163025,-0.743841,0.953602
-0.157806,-0.689299,0.942795
-0.153331,-0.641002,0.908504
-0.149777,-0.58926,0.883498
-0.148724,-0.540559,0.847701
-0.149011,-0.515611,0.829042
-0.154622,-0.48268,0.789125
-0.166282,-0.45144,0.732697
-0.173271,-0.422948,0.681218
-0.173137,-0.402295,0.625007
-0.163651,-0.384037,0.569591
-0.155684,-0.374408,0.494214
-0.159538,-0.369875,0.447451
-0.158591,-0.359991,0.385332
-0.160384,-0.356906,0.346727
-0.162223,-0.354278,0.30717
-0.164135,-0.352516,0.278811
-0.167255,-0.354864,0.235961
-0.169386,-0.358324,0.217889
-0.171727,-0.35988,0.204535
-0.174192,-0.360172,0.187393
-0.175088,-0.361302,0.177471
-0.175047,-0.363007,0.172903
-0.177676,-0.366001,0.167585
-0.180616,-0.369578,0.163026
-0.180616,-0.369578,0.16005
-0.180616,-0.369578,0.156454
-0.180616,-0.369578,0.152371
-0.180616,-0.369578,0.147928
-0.180616,-0.369578,0.145598
-0.180616,-0.369578,0.137861
-0.180616,-0.369578,0.13226
-0.180616,-0.369578,0.129253
-0.180616,-0.369578,0.122945
-0.180616,-0.369578,0.116211
-0.180616,-0.369578,0.109095
-0.180616,-0.369578,0.101469
-0.180616,-0.369578,0.0934113
-0.180616,-0.369578,0.0892274
-0.180616,-0.369578,0.0805072
-0.180616,-0.369578,0.0713432
-0.180616,-0.369578,0.06227
-0.180616,-0.369578,0.0523964
-0.180616,-0.369578,0.0472553
-0.180616,-0.369578,0.0366959
-0.180616,-0.369578,0.025562
-0.180616,-0.369578,0.0141016
-0.180616,-0.369578,0.00188425
-0.180616,-0.369578,-2.2119e-17
-0.180616,-0.369578,-2.2119e-17
-0.180616,-0.369578,-2.2119e-17
-0.180616,-0.369578,-2.2119e-17
-0.180616,-0.369578,-2.2119e-17
-0.180616,-0.369578,-2.2119e-17
-0.180616,-0.369578,-2.2119e-17
-0.180616,-0.369578,-2.2119e-17
-0.180616,-0.369578,-2.2119e-17
-0.180616,-0.369578,-2.2119e-17
-0.180616,-0.369578,-2.2119e-17
-0.180616,-0.369578,-2.2119e-17
-0.180616,-0.369578,-2.2119e-17
-0.180616,-0.369578,-2.2119e-17
-0.180616,-0.369578,-2.2119e-17
-0.180616,-0.369578,-2.2119e-17
