time,x,y,z,roll,pitch,yaw
43.887009,0.0298642,-0.120095,-0.0512427,-0.0233668,0.242886,-0.159481,147
44.021375,0.0233821,-0.119988,-0.0579565,-0.0218025,0.198916,-0.159078,148
44.088558,0.0212704,-0.121686,-0.0574058,-0.0202983,0.172718,-0.156768,149
44.122149,0.0182663,-0.116885,-0.0540045,-0.0260052,0.145916,-0.161745,150
44.189332,0.0161396,-0.120962,-0.0556927,-0.0231352,0.113468,-0.159425,151
44.256515,0.0143652,-0.125335,-0.0698737,-0.0131937,0.0842611,-0.156498,152
44.323698,0.0145284,-0.125951,-0.0719108,-0.0151583,0.0532029,-0.161459,153
44.390881,0.0109075,-0.130348,-0.0726804,-0.0114128,0.0251052,-0.165225,154
44.424473,0.0118507,-0.130404,-0.0550052,-0.0191802,0.0176008,-0.173216,155
44.558775,0.0118985,-0.130113,-0.0627419,-0.0201717,0.00946096,-0.181603,156
44.926948,0.00768626,-0.1297,-0.0712876,-0.00885278,-0.00390376,-0.196569,157
44.993877,-0.00352265,-0.126505,-0.068924,-0.0114145,-0.00223037,-0.203121,158
45.094271,-0.0168036,-0.123007,-0.0738456,-0.0127057,-0.00820812,-0.197051,159
45.161200,-0.0248948,-0.114327,-0.0639306,-0.0137904,0.00133577,-0.203372,160
