time,x,y,z,roll,pitch,yaw,framenum,valid,x_lpe,y_lpe,z_lpe,r_lpe,p_lpe,y_lpe
9.799923,0.318945,-0.11843,0.506586,-0.0154193,0.00302903,0.00346432,50,0,0.279926,-0.0243882,0.717278,-0.0225451,0.0354303,-0.000434323
9.900793,0.35709,-0.11414,0.502699,-0.0150382,0.00212626,0.0138826,51,0,0.312484,-0.0255038,0.718346,-0.0258376,0.0296168,0.0127664
9.968039,0.381731,-0.109346,0.495072,-0.0220698,-0.00596854,0.022199,52,0,0.352436,-0.0267739,0.717376,-0.0394766,0.0222507,0.02938
10.068909,0.430951,-0.129888,0.498607,-0.0370637,-0.00566168,0.0397869,53,0,0.377957,-0.0280056,0.706093,-0.0488177,0.0240123,0.0270639
10.203402,0.47478,-0.129121,0.491532,-0.0395788,0.000326762,0.0459396,54,0,0.426339,-0.0303728,0.704105,-0.0540697,0.0312879,0.0431633
10.337831,0.529879,-0.138366,0.493875,-0.0732725,-0.0156102,0.0607034,55,0,0.4824,-0.0278053,0.698536,-0.090821,0.0160068,0.0561891
10.438352,0.571852,-0.127136,0.515576,-0.0754097,-0.00077381,0.0633426,56,0,0.522809,-0.0304498,0.69919,-0.0747135,0.0336169,0.0576129
10.505281,0.594886,-0.139128,0.490722,-0.0668538,-0.00126251,0.0710402,57,0,0.553226,-0.0307574,0.705891,-0.0655496,0.0401305,0.0556442
10.639139,0.639792,-0.121419,0.504469,-0.0576565,0.0151903,0.0552053,58,0,0.592013,-0.0298511,0.696608,-0.0688242,0.0522665,0.0490754
10.739532,0.68372,-0.132225,0.497296,-0.0669936,0.0189592,0.0647522,59,0,0.628991,-0.0302138,0.695042,-0.0768189,0.0502967,0.0555093
10.940319,0.756552,-0.143321,0.500948,-0.05807,0.0132573,0.077237,60,0,0.707771,-0.0366519,0.691732,-0.0616504,0.0446203,0.0658449
11.040713,0.804321,-0.146508,0.502516,-0.054082,0.0219848,0.0781492,61,0,0.753541,-0.0389256,0.682995,-0.0641361,0.052209,0.0654686
11.174571,0.853942,-0.140339,0.511555,-0.0497245,0.0246518,0.083207,62,0,0.793269,-0.0410453,0.683578,-0.0596962,0.0531921,0.0736057
11.241500,0.88216,-0.138999,0.511335,-0.0479094,0.0265634,0.0804614,63,0,0.844227,-0.0436374,0.683669,-0.062496,0.0546779,0.0698201
11.408822,0.949032,-0.137259,0.517653,-0.0758058,0.0364575,0.0699224,64,0,0.900827,-0.0424739,0.687686,-0.0954034,0.0638568,0.064177
