x,y,z,valid
0.0160268,-0.00937142,0.00218374,1
0.0159539,-0.00593454,0.00224297,1
0.0181962,0.00892163,0.00201486,1
0.0183718,0.0052578,0.00183103,1
0.0174444,-0.00670343,0.00173072,1
0.0152117,-0.00657804,0.00174235,1
0.0164917,-0.00288672,0.00172016,1
0.0190698,0.0120077,0.00143144,1
0.0169245,-0.0058376,0.00150702,1
0.0196902,0.00868073,0.00117357,1
0.0152251,-0.00832034,0.00141464,1
0.0179804,0.00576651,0.00106355,1
0.0171853,-0.00274562,0.00150987,1
0.0168108,-0.00743928,0.00136566,1
0.0166779,-0.00574291,0.00116915,1
0.0198,0.00827512,0.000857826,1
0.0204551,0.00948618,0.000663776,1
0.0168855,-0.00753679,0.000872018,1
0.0163993,-0.00628364,0.000972173,1
0.0149854,-0.00660605,0.00117207,1
0.0176146,-0.00546474,0.00122936,1
0.0176146,-0.00546474,0.00122936,1
